name	logFC	P.Value	t	TFDatabase
HNRNPAB	0.207771	0.615294577376345	0.521595	absent
TOR1A	0.207505	0.647778045425628	0.473537	absent
VIRMA	0.207501	0.312184593383112	1.074559	absent
PNMA1	0.207451	0.5863086442971	0.565605	absent
BABAM1	0.207384	0.559918296943826	0.606725	absent
HNRNPH3	0.207124	0.463466570511688	0.767755	absent
DDX21	0.206351	0.625794429991587	0.505923	absent
NUDT21	0.206151	0.695792648526262	0.404586	absent
PIK3C2A	0.205486	0.624526057513003	0.507809	absent
TMEM245	0.205417	0.445267342987383	0.800487	absent
LHX4	0.205172	0.765515118429341	0.307993	absent
FUBP1	0.205069	0.5618107655881	0.60374	absent
ZC3H4	0.204605	0.447512259208168	0.796401	absent
SKA1	0.204369	0.697274823686385	0.402492	absent
PRMT1	0.20424	0.632776769002491	0.495576	absent
TALDO1	0.204194	0.504599666768013	0.696754	absent
NIPSNAP1	0.204011	0.625513991915635	0.50634	absent
MT1A	0.203847	0.828191771127224	0.223823	absent
MT1H	0.203847	0.828191771127224	0.223823	absent
RANGAP1	0.203111	0.789990775045433	0.274873	absent
NUCKS1	0.202953	0.693093574602226	0.408403	absent
MKI67	0.202808	0.584368549164097	0.568592	absent
CHCHD4	0.202745	0.586022316869993	0.566045	absent
BRMS1L	0.202687	0.453277323719875	0.785972	absent
RBM33	0.202671	0.386140199720888	0.913634	absent
SF3B2	0.202478	0.247927451635027	1.240714	absent
GTF2I	0.202291	0.582074211400198	0.572132	absent
CUSTOS	0.20217	0.496679881670327	0.710129	absent
PUM3	0.202113	0.681455579913538	0.424939	absent
UBE2D3	0.201995	0.713014161414673	0.380377	absent
MDC1	0.201465	0.577738692931157	0.578842	absent
PITX2	0.201123	0.595455713762954	0.551593	absent
PITX3	0.201123	0.595455713762954	0.551593	absent
ZC3H13	0.201067	0.515932928129098	0.67784	absent
RPS10P5	0.201018	0.416291899369567	0.854528	absent
OSBPL11	0.200826	0.653216599689228	0.46561	absent
CHID1	0.200622	0.645803043045079	0.476424	absent
RTRAF	0.200243	0.630850949457558	0.498424	absent
PARN	0.200075	0.288521755062374	1.13224	absent
RAB31	0.200055	0.665517851858997	0.447794	absent
PELP1	0.199427	0.321874218798171	1.051926	absent
NBPF1	0.199131	0.534800437974715	0.646909	absent
EMB	0.198887	0.695649030560929	0.404789	absent
FAM53C	0.198817	0.739503530252594	0.343608	absent
SETX	0.198624	0.564185694621428	0.600002	absent
PPP3CA	0.198438	0.397903594030598	0.890196	absent
MEX3B	0.197993	0.42353160853626	0.840788	absent
MEX3C	0.197993	0.42353160853626	0.840788	absent
DNAJA1	0.19779	0.730622525197812	0.355876	absent
CCDC59	0.197616	0.446103563968576	0.798963	absent
DDX50	0.19717	0.384096211445942	0.917759	absent
BRCA2	0.19715	0.537456587581406	0.642608	absent
CDK2AP2	0.196858	0.681763191751722	0.4245	absent
SAP18	0.196124	0.585724785368446	0.566503	absent
DACH1	0.196031	0.617214659236807	0.518719	absent
PRDX6	0.19569	0.518456587957711	0.673663	absent
DUSP3	0.195686	0.736302982021077	0.348022	absent
PHF6	0.195474	0.478985260532714	0.740508	absent
EIF3B	0.19512	0.617906374390836	0.517684	absent
ESPL1	0.194891	0.413336684372718	0.860184	absent
TASOR2	0.193896	0.623095505739512	0.509938	absent
CENPT	0.193873	0.720599492450086	0.369793	absent
OTUD6B	0.193807	0.706586371612837	0.389383	absent
INTS3	0.192921	0.45578487634657	0.781464	absent
CCDC66	0.192548	0.686115368679489	0.418303	absent
SUPT6H	0.192305	0.489814794044262	0.721832	absent
MMP24OS	0.192191	0.64938606990765	0.47119	absent
TXLNGY	0.191936	0.572260983416324	0.58736	absent
CNOT7	0.19176	0.489674423585828	0.722072	absent
NAA25	0.191687	0.732739472949796	0.352946	absent
RAP1GDS1	0.191479	0.466614793618218	0.762179	absent
MRPS35	0.191408	0.5657194395392	0.597593	absent
MSL3	0.191167	0.329896569155819	1.033582	absent
DUT	0.191089	0.719766526755398	0.370953	absent
CARS1	0.190706	0.62939481208545	0.500581	absent
LAMB1	0.189778	0.328251407354321	1.037316	absent
ZNF768	0.189718	0.510393066247915	0.687053	absent
UBE2I	0.189552	0.65169587601387	0.467823	absent
PCBP1	0.189227	0.681644448152123	0.42467	absent
RNF187	0.188948	0.555094535428495	0.614359	absent
PRDX1	0.18878	0.655174609480729	0.462763	absent
GSPT2	0.188079	0.702331124412988	0.395365	absent
RPL34	0.187416	0.656224446530985	0.461239	absent
KRT85	0.187236	0.822828966836208	0.230947	absent
HINT3	0.187081	0.516687906803957	0.676589	absent
OSBPL10	0.186725	0.685910412427581	0.418595	absent
ZNF592	0.186093	0.535190476567271	0.646277	absent
NCAPH2	0.18573	0.753615051833678	0.32423	absent
AKAP8L	0.185631	0.524522183192898	0.663675	absent
PSMD11	0.185582	0.661875175784779	0.453053	absent
SNX9	0.184825	0.696129646624371	0.40411	absent
PPP3CB	0.184699	0.520190021312694	0.670802	absent
PHF2	0.184688	0.569291575903088	0.591997	absent
EFNA3	0.184243	0.685061615219013	0.419802	absent
PPM1G	0.184173	0.524287138481277	0.664061	absent
CCNK	0.183943	0.161723402165952	1.532825	absent
ZNF346	0.183577	0.494224188329922	0.714303	absent
TDP1	0.183536	0.669254067808322	0.442414	absent
CALM3	0.183447	0.792685141366193	0.271248	absent
GTF2B	0.183029	0.448059893245707	0.795407	absent
UBA52	0.182922	0.289035614727933	1.130948	absent
UBB	0.182922	0.289035614727933	1.130948	absent
UBC	0.182922	0.289035614727933	1.130948	absent
SMC6	0.18291	0.61245251489963	0.52586	absent
NCBP3	0.18288	0.602669018650882	0.540625	absent
TTC4	0.182835	0.776565542592501	0.292996	absent
CDK2AP1	0.182789	0.683317318750993	0.422285	absent
NDUFAF1	0.182454	0.59828851354973	0.547277	absent
PSME3IP1	0.182353	0.349476096474715	0.990203	absent
HNRNPH2	0.182299	0.325207452184882	1.044262	absent
GPX4	0.182298	0.592094799710726	0.556727	absent
PES1	0.182088	0.453174753969468	0.786157	absent
HS1BP3	0.182076	0.53542423078517	0.645898	absent
C9orf78	0.181819	0.669534976125599	0.44201	absent
SF3B5	0.181551	0.630855670708172	0.498417	absent
CETN2	0.181378	0.610438908539196	0.528889	absent
TUBG1	0.180783	0.697690793687653	0.401905	absent
TUBG2	0.180783	0.697690793687653	0.401905	absent
HMBOX1	0.180741	0.721140940405344	0.369039	absent
C15orf39	0.180692	0.47817324815028	0.741919	absent
CAND2	0.180238	0.64290716551966	0.480665	absent
LCORL	0.180193	0.502822302644817	0.699744	absent
DNAJC9	0.180125	0.542052609886448	0.635195	absent
CDKN2A	0.180077	0.765110715894337	0.308543	absent
HNRNPK	0.179899	0.589177587324402	0.561197	absent
GNG12	0.17952	0.597841138470546	0.547958	absent
DCTN3	0.179275	0.7239855670822	0.365082	absent
PARP1	0.179101	0.430865398493345	0.827035	absent
MXD4	0.178917	0.726646322110381	0.361387	absent
UBQLN2	0.17884	0.741123852254336	0.341375	absent
RPS27A	0.178732	0.27571594109202	1.165043	absent
PSMC6	0.178474	0.68111173005719	0.42543	absent
TAF7	0.178417	0.43922964500496	0.811544	absent
SPR	0.178266	0.77633621805469	0.293306	absent
FAM98B	0.177807	0.451710973624183	0.788797	absent
KIF20A	0.177636	0.689970534887461	0.412828	absent
SRRT	0.177543	0.540573501750755	0.637577	absent
ARHGAP21	0.177446	0.454420938893738	0.783914	absent
SFPQ	0.176782	0.418409728263903	0.850492	absent
DDX27	0.176454	0.511109947575163	0.685857	absent
ATF1	0.176335	0.65716148757392	0.459879	absent
DNMT3B	0.175809	0.548380607794061	0.625049	absent
RAB10	0.175467	0.556014211739995	0.6129	absent
WAC	0.175302	0.292511235962189	1.122259	absent
NKTR	0.175031	0.47277423310631	0.751343	absent
APAF1	0.174886	0.638115631801113	0.487703	absent
RBM12	0.174864	0.493190209905449	0.716065	absent
FAU	0.174845	0.670647280027575	0.440411	absent
KHSRP	0.174806	0.498404053657529	0.707206	absent
BRD3	0.174781	0.67400424568181	0.435593	absent
RIF1	0.174499	0.489332840793607	0.722657	absent
USF2	0.174177	0.596279076447787	0.550337	absent
SLC7A6OS	0.173836	0.591730080239517	0.557286	absent
NBPF15	0.173431	0.724827119274436	0.363913	absent
NBPF19	0.173431	0.724827119274436	0.363913	absent
C2orf49	0.172835	0.620031074407079	0.514508	absent
UCHL1	0.172724	0.393033384091783	0.899839	absent
VPS39	0.172439	0.570227886088571	0.590534	absent
EIF1AX	0.172418	0.772787269322112	0.298115	absent
HMG20A	0.172353	0.617281030002541	0.518619	absent
SMG6	0.172063	0.578304217609852	0.577965	absent
TAF9	0.171982	0.454632068833435	0.783535	absent
KCTD5	0.171975	0.776563353105971	0.292999	absent
BCL2L12	0.171885	0.365061185939467	0.956963	absent
IK	0.171627	0.585634710345369	0.566642	absent
THRAP3	0.171591	0.521326641229677	0.668929	absent
RIOK1	0.171437	0.628692695820627	0.501621	absent
